ChngClass,IDR,IMP_AUD,IMP_BSESN,IMP_BZ,IMP_CL,IMP_CNY,IMP_EUR,IMP_FTSE,IMP_GBP,IMP_GC,IMP_HKD,IMP_HSI,IMP_IXIC,IMP_JPY,IMP_KC,IMP_KLSE,IMP_LB,IMP_N100,IMP_N225,IMP_NG,IMP_PL,IMP_SGD,IMP_SI,IMP_SS,IMP_THB,IMP_USD,MarketCap,Volume,Posts,Polarity
Negative,3388.5699179,0.3373364806,38102.34,72.07,64.43,1.617163016,0.2139990728,7308.9054545,0.1854935499,1278.3,1.8967123353,29391.804697,7780.3812121,27.074932197,91.55,1656.5266667,334.8,1050.4521212,21673.142727,2.568,889.8,0.3271360921,15.03,3124.709697,7.6876772504,0.2417890053,695,671464,21416,0.4404
Positive,3381.7668331,0.3365291561,39140.28,71.88,63.99,1.6138960099,0.214039551,7472.14,0.185026575,1276.2,1.8872595138,29963.26,7996.08,26.927109583,90.55,1619.73,338.7,1085.32,22090.12,2.504,895,0.3262201363,14.93,3250.2,7.656514945,0.240555798,720,582945,21557,0
Positive,3389.5549772,0.3377062833,38102.34,71.95,64,1.6185436203,0.2146144795,7308.9054545,0.1856499868,1277.9,1.8935326517,29391.804697,7780.3812121,27.01293032,93,1656.5266667,334.5,1050.4521212,21673.142727,2.492,907,0.3271434725,14.97,3124.709697,7.6799184488,0.241359262,854,1684374,22101,0.4215
Positive,3389.5549772,0.3377062833,38102.34,71.95,64,1.6185436203,0.2146144795,7308.9054545,0.1856499868,1277.9,1.8935326517,29391.804697,7780.3812121,27.01293032,93,1656.5266667,334.5,1050.4521212,21673.142727,2.492,907,0.3271434725,14.97,3124.709697,7.6799184488,0.241359262,854,1684374,22101,0.7351
Positive,3398.4553271,0.3382767618,38102.34,71.95,64,1.6222043274,0.2151959343,7308.9054545,0.1861724357,1277.9,1.8979024099,29391.804697,7780.3812121,27.081095252,93,1656.5266667,334.5,1050.4521212,21673.142727,2.492,907,0.3278150963,14.97,3124.709697,7.698665708,0.2419675034,854,1684374,22250,0
Positive,3399.525133,0.3381982062,38102.34,71.95,64,1.6224231713,0.2151909817,7308.9054545,0.186265709,1277.9,1.8982829525,29391.804697,7780.3812121,27.083595873,93,1656.5266667,334.5,1050.4521212,21673.142727,2.492,907,0.3278320661,14.97,3124.709697,7.6975735823,0.2419937978,854,1684374,22475,0
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0.5574
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0.5574
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0.5267
Positive,3403.0172752,0.3388860491,38645.18,73.81,65.39,1.621399206,0.214704197,7459.88,0.1861933615,1279.1,1.8965432739,29963.26,7998.06,27.062943458,94.2,1622.06,334.5,1085.97,22217.9,2.528,910.1,0.3279316492,14.98,3215.04,7.702252065,0.2417568137,1105,153576,22944,0
